Here is a professional video split-screen script for a short,卡通科幻 film titled **"NOVA & THE COSMIC SPARKS."** The tone is "鬼马" (wacky/gremlin energy) mixed with heart.

**Title:** Nova & The Cosmic Sparks
**Genre:** Cartoon Sci-Fi / Adventure / Comedy
**Tone:** Whimsical, fast-paced, vibrant, "childhood imagination meets high-tech fantasy."
**Main Character:** Nova – A genius kid with messy hair, goggles, and boundless energy.

---

### Scene 1: The Chaotic Lab (The Invention)
**Goal:** Introduce Nova's wacky genius and the "Spark Drive."

| Visual Description | Camera Movement & Angle | Audio & SFX | AI Image Prompt |
| Visual Description | Camera Movement & Angle | Audio & SFX | AI Image Prompt |
| :--- | :--- | :--- | :--- |
| **EXT. CRYSTAL PLANET**<br>The Void ships retreat. The color returns to the crystals. The alien creatures gather around the kids, hoisting them up. | **WIDE HERO SHOT** - The kids on a platform of aliens, cheering. | Triumphant, joyful orchestral music. Cheers and alien squeaks. | Victory celebration, three kids being lifted by happy alien creatures, vibrant colors restored, fireworks in space, wide cinematic shot, cartoon. |
| Nova looks at his friends and smiles. "Best. Science fair. Ever." | **MEDIUM SHOT** of the trio laughing. | Laughter. Music swells. | Three friends laughing together, covered in dust but happy, sunset on alien planet, heartwarming moment, 3D cartoon illustration. |

### Scene 8: Post-Credits Sting
**Goal:** Hint at the next adventure.

| Visual Description | Camera Movement & Angle | Audio & SFX | AI Image Prompt |
| :--- | :--- | :--- | :--- |
| **INT. TREEHOUSE LAB - NIGHT**<br>Glompy the alien is now in Nova's lab. It presses a big red button. The entire lab starts to transform into a giant robot. Nova's voice off-screen: "Glompy... NO!" | **WIDE SHOT** of the lab rising up on mechanical legs. | Comedic suspense music. Sound of giant hydraulics. | A treehouse transforming into a giant walking robot at night, lights turning on, funny chaos, a small alien at the control panel, cartoon style. |
